USER_ID,VIDEO_ID,EVENT_TYPE,TIMESTAMP
kh2bu158k9YMfFHEzoaR6,XuQQTlqO1rPhUcAZOsKYi,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,Vk1Vej-QGdDQJMgOC1TWo,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,gLJeslxSw7yYUBgVHLmoE,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,2qoKeGd7nuieD0cIMIBsO,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,-pa1MVC5X2Wdz5hhqMvue,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,FmDx9z-rfaLiox3PmMaji,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,lBdDdw7_O-aRtoBrnCbAn,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,dOrD2x4fISJQW9kSJH4c7,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,ZKt00j5-kvwDuwU44mzzE,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,-VZr42KGCYHd3AA0W2EWI,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,bZHBr0a_KP87D9PnIoj8z,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,qAon83MC0vW-NC5SyM5kP,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,hJ3eetAoyn1ltZl3IFScD,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,SQ1yp9tBcEoKSkVgvJIaw,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,9UuuYRBBGTwFSdEQXbk1q,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,zEBydTZNEIxcp3HoWXuR2,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,KHCzw12HiQvhP2hTLt5u4,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,DqzXYCA96YX8Z3DmyHMfh,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,XmSkFnmiU1nl4kZRXqJB-,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,uqJ1xwcSMsxjJKQ3vmSce,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,R2b1ntQzi6SeQ7tGVzob2,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,au3TNiSFs28u1Q1jM0tb5,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,ktmPjrgpKzmurpHvSna3z,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,N7NjV-VCNc-v5fCLLmPLT,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,iWjHsSSoCDpvSUTEy2wK5,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,TK0zJbMZe4TIA911b1J07,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,MAOrY5cd-qxVBRTXeiedr,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,fNmiTP9yZ5E0Ufx-7O5Ev,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,3XHNlTGr5HcvWvzSm2vY1,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,3ZtPmHckfvW1s1Vif2BP9,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,gpRhmMMDwj8AwJLdZnzt7,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,DBqTdlGMLHc34gAgTZUfE,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,yKFJ_hViD4Y_3TeRmL5iy,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,bvswK_ZL3ZYTjI6QLp-ii,viewed,1659333544
kh2bu158k9YMfFHEzoaR6,gGOD1XpL5j4y8XGxbnU-k,viewed,1659333544
